@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric

@data
0,620.12262,-50,0
0,620.12262,-49,0
0,620.12262,-48,0
0,620.12262,-47,0
0,620.12262,-46,0
0,620.12262,-45,0
0,620.12262,-44,0
0,620.12262,-43,0
0,620.12262,-42,0
0,620.12262,-41,0
0,620.12262,-40,0
0,620.12262,-39,0
0,620.12262,-38,0
0,620.12262,-37,0
0,620.12262,-36,0
0,620.12262,-35,0
0,620.12262,-34,0
0,620.12262,-33,0
0,620.12262,-32,0
0,620.12262,-31,0
0,620.12262,-30,0
0,620.12262,-29,0
0,620.12262,-28,0
0,620.12262,-27,0
0,620.12262,-26,0
0,620.12262,-25,0
0,620.12262,-24,0
0,620.12262,-23,0
0,620.12262,-22,0
0,620.12262,-21,0
0,620.12262,-20,0
0,620.12262,-19,0
0,620.12262,-18,0
0,620.12262,-17,0
0,620.12262,-16,0
0,620.12262,-15,0
0,620.12262,-14,0
0,620.12262,-13,0
0,620.12262,-12,0
0,620.12262,-11,0
0,620.12262,-10,0
0,620.12262,-9,0
0,620.12262,-8,0
0,620.12262,-7,0
0,620.12262,-6,0
0,620.12262,-5,0
0,620.12262,-4,0
0,620.12262,-3,0
0,620.12262,-2,0
0,620.12262,-1,0
0,620.12262,0,0
0,620.12262,1,0
0,759.491943,2,0
0,876.985779,3,0
0,980.499878,4,0
0,1074.08374,5,0
0,1160.143066,6,0
0,1240.245239,7,0
0,1315.478516,8,0
0,1386.63623,9,0
0,1454.316284,10,0
0,1518.983887,11,0
0,1581.008545,12,0
0,1640.690186,13,0
0,1698.275635,14,0
0,1753.971558,15,0
0,1807.952515,16,0
0,1860.367676,17,0
0,1911.346191,18,0
0,1960.999756,19,0
0,2009.426758,20,0
0,2056.713867,21,0
0,2102.937988,22,0
0,2148.16748,23,0
0,2192.464355,24,0
0,2235.883789,25,0
0,2278.47583,26,0
0,2320.286133,27,0
0,2361.356689,28,0
0,2401.724365,29,0
0,2441.425293,30,0
0,2480.490479,31,0
0,2518.949707,32,0
0,2556.831055,33,0
0,2594.158936,34,0
0,2630.957031,35,0
0,2667.248047,36,0
0,2703.051758,37,0
0,2738.387207,38,0
0,2773.272461,39,0
0,2807.724365,40,0
0,2841.758789,41,0
0,2875.390137,42,0
0,2908.632568,43,0
0,2941.499512,44,0
0,2974.003418,45,0
0,3006.155518,46,0
0,3037.967773,47,0
0,3069.450195,48,0
0,3100.613037,49,0
0,3131.465576,50,0
20,620.12262,-50,1.095648
20,620.12262,-49,1.086408
20,620.12262,-48,1.081781
20,620.12262,-47,1.072514
20,620.12262,-46,1.063228
20,620.12262,-45,1.053923
20,620.12262,-44,1.049264
20,620.12262,-43,1.039931
20,620.12262,-42,1.03058
20,620.12262,-41,1.021209
20,620.12262,-40,1.016517
20,620.12262,-39,1.007119
20,620.12262,-38,0.997702
20,620.12262,-37,0.988266
20,620.12262,-36,0.978811
20,620.12262,-35,0.969338
20,620.12262,-34,0.959845
20,620.12262,-33,0.950333
20,620.12262,-32,0.940802
20,620.12262,-31,0.931253
20,620.12262,-30,0.921683
20,620.12262,-29,0.912095
20,620.12262,-28,0.902488
20,620.12262,-27,0.892861
20,620.12262,-26,0.883215
20,620.12262,-25,0.87355
20,620.12262,-24,0.859016
20,620.12262,-23,0.849302
20,620.12262,-22,0.839569
20,620.12262,-21,0.824933
20,620.12262,-20,0.815151
20,620.12262,-19,0.800441
20,620.12262,-18,0.79061
20,620.12262,-17,0.775827
20,620.12262,-16,0.765946
20,620.12262,-15,0.751089
20,620.12262,-14,0.736186
20,620.12262,-13,0.721239
20,620.12262,-12,0.706247
20,620.12262,-11,0.69121
20,620.12262,-10,0.676128
20,620.12262,-9,0.661
20,620.12262,-8,0.640759
20,620.12262,-7,0.625526
20,620.12262,-6,0.605142
20,620.12262,-5,0.584678
20,620.12262,-4,0.564131
20,620.12262,-3,0.538331
20,620.12262,-2,0.512402
20,620.12262,-1,0.486343
20,620.12262,0,0.449641
20,620.12262,1,0.41268
20,759.491943,2,0.496782
20,876.985779,3,0.569275
20,980.499878,4,0.630609
20,1074.08374,5,0.686188
20,1160.143066,6,0.731209
20,1240.245239,7,0.780759
20,1315.478516,8,0.820044
20,1386.63623,9,0.859016
20,1454.316284,10,0.897677
20,1518.983887,11,0.931253
20,1581.008545,12,0.964594
20,1640.690186,13,0.992987
20,1698.275635,14,1.025897
20,1753.971558,15,1.053923
20,1807.952515,16,1.081781
20,1860.367676,17,1.104869
20,1911.346191,18,1.132422
20,1960.999756,19,1.155257
20,2009.426758,20,1.177979
20,2056.713867,21,1.200587
20,2102.937988,22,1.223082
20,2148.16748,23,1.245464
20,2192.464355,24,1.267735
20,2235.883789,25,1.285472
20,2278.47583,26,1.307544
20,2320.286133,27,1.325122
20,2361.356689,28,1.346995
