@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric
@attribute llegaAPlataforma {no,si}

@data
0,970.645325,4.9,24.853689,no
50,970.345581,4.896974,24.853689,no
100,970.644836,4.899995,24.853689,no
150,970.633362,4.899879,24.853689,no
200,970.345581,4.896974,24.853689,no
250,970.645325,4.9,24.853689,no
300,970.643005,4.899976,24.853689,no
350,970.644836,4.899995,24.853689,no
400,970.345581,4.896974,24.853689,no
450,970.345581,4.896974,24.853689,no
500,970.643005,4.899976,24.853689,no
550,970.644836,4.899995,24.853689,no
600,970.644836,4.899995,24.853689,no
650,970.633362,4.899879,24.853689,no
700,970.644836,4.899995,24.853689,si
0,1131.617432,6.66,17.958529,no
50,1131.56604,6.659395,17.958529,no
100,1131.56604,6.659395,17.958529,no
150,1131.56604,6.659395,17.958529,no
200,1131.617065,6.659994,17.958529,no
250,1131.617065,6.659994,17.958529,no
300,1131.617065,6.659994,17.958529,no
350,1131.56604,6.659395,17.958529,no
400,1131.360474,6.656975,17.958529,no
450,1131.6073,6.65988,17.958529,si
0,1069.599121,5.950001,30.994902,no
50,1069.596924,5.949976,30.994902,no
100,1069.596924,5.949976,30.994902,no
150,1069.596924,5.949976,30.994902,no
200,1069.5448,5.949396,30.994902,no
250,1069.588379,5.949881,30.994902,no
300,1069.599121,5.950001,30.994902,no
350,1069.596924,5.949976,30.994902,no
400,1069.5448,5.949396,30.994902,no
450,1069.5448,5.949396,30.994902,no
500,1069.588379,5.949881,30.994902,no
550,1069.327271,5.946976,30.994902,no
600,1069.327271,5.946976,30.994902,no
650,1069.588379,5.949881,30.994902,no
700,1069.5448,5.949396,30.994902,no
750,1069.5448,5.949396,30.994902,no
800,1069.5448,5.949396,30.994902,no
850,1069.327271,5.946976,30.994902,no
900,1069.327271,5.946976,30.994902,si
0,1630.108765,13.820002,27.327055,no
50,1630.07312,13.819397,27.327055,no
100,1630.07312,13.819397,27.327055,no
150,1629.93042,13.816977,27.327055,no
200,1630.07312,13.819397,27.327055,no
250,1630.07312,13.819397,27.327055,no
300,1630.107422,13.819979,27.327055,no
350,1630.101807,13.819881,27.327055,no
400,1630.07312,13.819397,27.327055,no
450,1630.101807,13.819881,27.327055,no
500,1630.107422,13.819979,27.327055,si
0,2816.953857,41.269997,40.648106,no
50,2816.953369,41.269974,40.648106,no
100,2816.85083,41.266972,40.648106,no
150,2816.949951,41.269875,40.648106,no
200,2816.949951,41.269875,40.648106,no
250,2816.953857,41.269993,40.648106,no
