@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric
@attribute llegaAPlataforma {no,si}

@data
0,1460.911987,11.1,49.070511,no
50,1460.911987,11.1,49.070511,no
100,1460.911987,11.1,49.070511,no
150,1460.911987,11.1,49.070511,no
200,1460.911987,11.1,49.070511,no
250,1460.911987,11.1,49.070511,no
300,1460.911987,11.1,49.070511,no
350,1460.911987,11.1,49.070511,no
400,1460.911987,11.1,49.070511,no
450,1460.911987,11.1,49.070511,no
500,1460.911987,11.1,49.070511,no
550,1460.911987,11.1,49.070511,no
600,1460.911987,11.1,49.070511,no
650,1460.911987,11.1,49.070511,no
700,1460.911987,11.1,49.070511,no
750,1460.911987,11.1,49.070511,no
800,1460.911987,11.1,49.070511,no
850,1460.911987,11.1,49.070511,no
900,1460.911987,11.1,49.070511,no
950,1460.911987,11.1,49.070511,si
1000,1460.911987,11.1,49.070511,si
1050,1460.911987,11.1,49.070511,si
1100,1460.911987,11.1,49.070511,si
1150,1460.911987,11.1,49.070511,si
1200,1460.911987,11.1,49.070511,si
1250,1460.911987,11.1,49.070511,no
1300,1460.911987,11.1,49.070511,no
1350,1460.911987,11.1,49.070511,no
1400,1460.911987,11.1,49.070511,no
1450,1460.911987,11.1,49.070511,no
1500,1460.911987,11.1,49.070511,no
1550,1460.911987,11.1,49.070511,no
1600,1460.911987,11.1,49.070511,no
1650,1460.911987,11.1,49.070511,no
1700,1460.911987,11.1,49.070511,no
1750,1460.911987,11.1,49.070511,no
1800,1460.911987,11.1,49.070511,no
1850,1460.911987,11.1,49.070511,no
1900,1460.911987,11.1,49.070511,no
1950,1460.911987,11.1,49.070511,no
2000,1460.911987,11.1,49.070511,no
2050,1460.911987,11.1,48.60778,no
2100,1460.911987,11.1,49.070511,no
2150,1460.911987,11.1,49.070511,no
2200,1460.911987,11.1,49.070511,no
2250,1460.911987,11.1,49.070511,no
2300,1460.911987,11.1,49.070511,no
2350,1460.911987,11.1,49.070511,no
2400,1460.911987,11.1,49.070511,no
2450,1460.911987,11.1,48.188213,no
2500,1460.911987,11.1,49.070511,no
0,2704.450928,38.039352,115.141266,no
50,2704.450928,38.039352,115.724983,no
100,2704.450928,38.039352,115.724983,no
150,2704.450928,38.039352,115.724983,no
200,2704.450928,38.039352,115.724983,no
250,2704.450928,38.039352,115.724983,no
300,2704.450928,38.039352,115.724983,no
350,2704.450928,38.039352,115.724983,no
400,2704.450928,38.039352,115.724983,no
450,2704.450928,38.039352,115.724983,no
500,2704.450928,38.039352,115.724983,no
550,2704.450928,38.039352,115.724983,no
600,2704.450928,38.039352,115.724983,no
650,2704.450928,38.039352,115.724983,no
700,2704.450928,38.039352,115.724983,no
750,2704.450928,38.039352,115.724983,no
800,2704.450928,38.039352,115.724983,no
850,2704.450928,38.039352,115.724983,no
900,2704.450928,38.039352,115.724983,no
950,2704.450928,38.039352,115.724983,no
1000,2704.450928,38.039352,115.724983,no
1050,2704.450928,38.039352,115.724983,no
1100,2704.450928,38.039352,115.724983,no
1150,2704.450928,38.039352,115.724983,no
