@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric
@attribute llegaAPlataforma {no,si}

@data
0,970.645325,4.9,24.853689,no
50,970.645325,4.9,24.853689,no
100,970.645325,4.9,23.01314,no
150,970.645325,4.9,19.331999,no
200,970.645325,4.9,13.810312,no
250,970.645325,4.9,24.852364,no
300,970.645325,4.9,15.649657,no
350,970.645325,4.9,24.850931,no
400,970.645325,4.9,11.966941,si
450,970.645325,4.9,24.853689,no
500,970.645325,4.9,24.849665,no
550,970.645325,4.9,24.849606,no
600,970.645325,4.9,24.848942,no
650,970.645325,4.9,24.799967,no
700,970.645325,4.9,24.848038,si
750,970.645325,4.9,24.853689,si
800,970.645325,4.9,24.853689,si
850,970.645325,4.9,24.853689,si
900,970.645325,4.9,24.853689,si
0,1131.56604,6.659395,17.958529,no
50,1131.617432,6.66,17.958529,no
100,1131.617432,6.66,15.847371,no
150,1131.617432,6.66,17.82299,no
200,1131.617432,6.66,17.785973,no
250,1131.617432,6.66,17.957035,no
300,1131.617432,6.66,17.956108,no
350,1131.617432,6.66,17.956108,no
400,1131.617432,6.66,17.944437,si
450,1131.617432,6.66,17.958529,si
500,1131.617432,6.66,17.958529,si
550,1131.617432,6.66,17.958529,si
600,1131.617432,6.66,17.958529,si
650,1131.617432,6.66,17.958529,no
700,1131.617432,6.66,17.952759,no
750,1131.617432,6.66,17.952759,no
800,1131.617432,6.66,17.952194,no
850,1131.617432,6.66,17.952194,no
900,1131.617432,6.66,17.951267,no
0,1069.5448,5.949396,30.994902,no
50,1069.599121,5.950001,30.994902,no
100,1069.599121,5.950001,28.993706,no
150,1069.599121,5.950001,30.99399,no
200,1069.599121,5.950001,30.993402,no
250,1069.599121,5.950001,30.993402,no
300,1069.599121,5.950001,30.992815,no
350,1069.599121,5.950001,30.992491,no
400,1069.599121,5.950001,30.991901,no
450,1069.599121,5.950001,30.991901,no
500,1069.599121,5.950001,30.99099,no
550,1069.599121,5.950001,30.99099,no
600,1069.599121,5.950001,30.990402,no
650,1069.599121,5.950001,30.990314,no
700,1069.599121,5.950001,30.989491,no
750,1069.599121,5.950001,30.430843,no
800,1069.599121,5.950001,30.987606,si
850,1069.599121,5.950001,30.994902,si
900,1069.599121,5.950001,30.994902,si
950,1069.599121,5.950001,30.994902,si
1000,1069.599121,5.950001,30.994902,si
1050,1069.599121,5.950001,30.994902,no
1100,1069.599121,5.950001,29.567972,no
1150,1069.599121,5.950001,30.986036,no
1200,1069.599121,5.950001,30.985579,no
1250,1069.599121,5.950001,30.985016,no
1300,1069.599121,5.950001,30.984989,no
0,1630.107422,13.819979,27.327055,no
50,1630.108765,13.820002,27.327055,no
100,1630.108765,13.820002,24.415976,no
150,1630.108765,13.820002,27.326128,no
200,1630.108765,13.820002,27.326128,no
250,1630.108765,13.820002,27.325562,no
300,1630.108765,13.820002,27.325447,no
350,1630.108765,13.820002,27.324635,no
400,1630.108765,13.820002,27.324635,no
450,1630.108765,13.820002,27.324068,no
500,1630.108765,13.820002,27.323141,si
550,1630.108765,13.820002,27.327055,si
600,1630.108765,13.820002,27.327055,si
650,1630.108765,13.820002,27.327055,no
700,1630.108765,13.820002,27.321648,no
750,1630.108765,13.820002,27.321648,no
800,1630.108765,13.820002,27.321533,no
850,1630.108765,13.820002,27.320875,no
900,1630.108765,13.820002,27.320721,no
950,1630.108765,13.820002,27.320515,no
1000,1630.108765,13.820002,27.319794,no
0,2816.953857,41.269993,40.648106,no
50,2816.953857,41.269997,40.648106,no
100,2816.953857,41.269997,40.648106,no
150,2816.953857,41.269997,40.647449,no
200,2816.953857,41.269997,40.647449,no
250,2816.953857,41.269997,40.646793,no
300,2816.953857,41.269997,40.646793,no
350,2816.953857,41.269997,40.645996,no
400,2816.953857,41.269997,40.645996,no
450,2816.953857,41.269997,40.64534,no
500,2816.953857,41.269997,40.906548,si
550,2816.953857,41.269997,40.648106,si
600,2816.953857,41.269997,40.648106,no
650,2816.953857,41.269997,39.766628,no
700,2816.953857,41.269997,40.644024,no
750,2816.953857,41.269997,40.643997,no
800,2816.953857,41.269997,40.643368,no
850,2816.953857,41.269997,40.64323,no
900,2816.953857,41.269997,40.642574,no
