@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric

@data
0,1240.245239,8,0
0,1315.478516,9,0
0,1386.63623,10,0
0,1454.316284,11,0
0,1518.983887,12,0
1,1240.245239,8,0
1,1315.478516,9,0
1,1386.63623,10,0
1,1454.316284,11,0
1,1518.983887,12,0
2,1240.245239,8,0
2,1315.478516,9,0
2,1386.63623,10,0
2,1454.316284,11,0
2,1518.983887,12,0
3,1240.245239,8,0.00473
3,1315.478516,9,0.004974
3,1386.63623,10,0.005188
3,1454.316284,11,0.005402
3,1518.983887,12,0.005524
4,1240.245239,8,0.004852
4,1315.478516,9,0.004852
4,1386.63623,10,0.005402
4,1454.316284,11,0.005524
4,1518.983887,12,0.005859
5,1240.245239,8,0.004791
5,1315.478516,9,0.004883
5,1386.63623,10,0.005127
5,1454.316284,11,0.005341
5,1518.983887,12,0.005798
6,1240.245239,8,0.004639
6,1315.478516,9,0.004852
6,1386.63623,10,0.005157
6,1454.316284,11,0.005371
6,1518.983887,12,0.005524
7,1240.245239,8,0.007355
7,1315.478516,9,0.007355
7,1386.63623,10,0.007843
7,1454.316284,11,0.007996
7,1518.983887,12,0.008148
8,1240.245239,8,0.009277
8,1315.478516,9,0.009766
8,1386.63623,10,0.010376
8,1454.316284,11,0.010742
8,1518.983887,12,0.011047
9,1240.245239,8,0.009338
9,1315.478516,9,0.009705
9,1386.63623,10,0.010803
9,1454.316284,11,0.010742
9,1518.983887,12,0.011108
10,1240.245239,8,0.009583
10,1315.478516,9,0.010193
10,1386.63623,10,0.010376
10,1454.316284,11,0.01062
10,1518.983887,12,0.011047
11,1240.245239,8,0.010315
11,1315.478516,9,0.010376
11,1386.63623,10,0.010986
11,1454.316284,11,0.011353
11,1518.983887,12,0.01178
12,1240.245239,8,0.012787
12,1315.478516,9,0.013092
12,1386.63623,10,0.01413
12,1454.316284,11,0.014557
12,1518.983887,12,0.014374
13,1240.245239,8,0.014099
13,1315.478516,9,0.014832
13,1386.63623,10,0.016296
13,1454.316284,11,0.016388
13,1518.983887,12,0.016937
14,1240.245239,8,0.013824
14,1315.478516,9,0.014557
14,1386.63623,10,0.016113
14,1454.316284,11,0.016113
14,1518.983887,12,0.016937
15,1240.245239,8,0.013824
15,1315.478516,9,0.014557
15,1386.63623,10,0.015564
15,1454.316284,11,0.016754
15,1518.983887,12,0.016571
16,1240.245239,8,0.015656
16,1315.478516,9,0.016388
16,1386.63623,10,0.017487
16,1454.316284,11,0.017944
16,1518.983887,12,0.018677
17,1240.245239,8,0.0177
17,1315.478516,9,0.018433
17,1386.63623,10,0.019257
17,1454.316284,11,0.019714
17,1518.983887,12,0.021362
18,1240.245239,8,0.018677
18,1315.478516,9,0.019531
18,1386.63623,10,0.020508
18,1454.316284,11,0.02124
18,1518.983887,12,0.022461
19,1240.245239,8,0.018433
19,1315.478516,9,0.019531
19,1386.63623,10,0.021362
19,1454.316284,11,0.021851
19,1518.983887,12,0.022461
20,1240.245239,8,0.019775
20,1315.478516,9,0.02063
20,1386.63623,10,0.021362
20,1454.316284,11,0.022705
20,1518.983887,12,0.023315
21,1240.245239,8,0.020905
21,1315.478516,9,0.022003
21,1386.63623,10,0.023102
21,1454.316284,11,0.023712
21,1518.983887,12,0.024567
22,1240.245239,8,0.022461
22,1315.478516,9,0.023926
22,1386.63623,10,0.024414
22,1454.316284,11,0.025269
22,1518.983887,12,0.026367
23,1240.245239,8,0.024719
23,1315.478516,9,0.024872
23,1386.63623,10,0.025635
23,1454.316284,11,0.026611
23,1518.983887,12,0.028076
24,1240.245239,8,0.024994
24,1315.478516,9,0.024841
24,1386.63623,10,0.027435
24,1454.316284,11,0.027283
24,1518.983887,12,0.028351
25,1240.245239,8,0.024719
25,1315.478516,9,0.026398
25,1386.63623,10,0.027313
25,1454.316284,11,0.029144
25,1518.983887,12,0.029755
26,1240.245239,8,0.02652
26,1315.478516,9,0.02713
26,1386.63623,10,0.028809
26,1454.316284,11,0.029724
26,1518.983887,12,0.032013
27,1240.245239,8,0.027069
27,1315.478516,9,0.029053
27,1386.63623,10,0.02951
27,1454.316284,11,0.031036
27,1518.983887,12,0.032257
28,1240.245239,8,0.029327
28,1315.478516,9,0.029694
28,1386.63623,10,0.031097
28,1454.316284,11,0.03186
28,1518.983887,12,0.033691
29,1240.245239,8,0.028748
29,1315.478516,9,0.030579
29,1386.63623,10,0.031677
29,1454.316284,11,0.033508
29,1518.983887,12,0.034607
30,1240.245239,8,0.029968
30,1315.478516,9,0.03125
30,1386.63623,10,0.032898
30,1454.316284,11,0.034363
30,1518.983887,12,0.035645
31,1240.245239,8,0.032257
31,1315.478516,9,0.032257
31,1386.63623,10,0.034088
31,1454.316284,11,0.035187
31,1518.983887,12,0.037384
32,1240.245239,8,0.033051
32,1315.478516,9,0.033783
32,1386.63623,10,0.036163
32,1454.316284,11,0.037628
32,1518.983887,12,0.038361
33,1240.245239,8,0.032928
33,1315.478516,9,0.036285
33,1386.63623,10,0.036469
33,1454.316284,11,0.038666
33,1518.983887,12,0.038849
34,1240.245239,8,0.034912
34,1315.478516,9,0.037689
34,1386.63623,10,0.037262
34,1454.316284,11,0.039185
34,1518.983887,12,0.04068
35,1240.245239,8,0.034943
35,1315.478516,9,0.036652
35,1386.63623,10,0.038361
35,1454.316284,11,0.04007
35,1518.983887,12,0.041138
36,1240.245239,8,0.038147
36,1315.478516,9,0.037292
36,1386.63623,10,0.04007
36,1454.316284,11,0.040497
36,1518.983887,12,0.043701
37,1240.245239,8,0.038513
37,1315.478516,9,0.040649
37,1386.63623,10,0.040649
37,1454.316284,11,0.042145
37,1518.983887,12,0.043213
38,1240.245239,8,0.038269
38,1315.478516,9,0.039978
38,1386.63623,10,0.042236
38,1454.316284,11,0.043304
38,1518.983887,12,0.045654
39,1240.245239,8,0.039551
39,1315.478516,9,0.041016
39,1386.63623,10,0.044922
39,1454.316284,11,0.044922
39,1518.983887,12,0.047363
40,1240.245239,8,0.039825
40,1315.478516,9,0.041534
40,1386.63623,10,0.043488
40,1454.316284,11,0.045685
40,1518.983887,12,0.047394
41,1240.245239,8,0.041656
41,1315.478516,9,0.042633
41,1386.63623,10,0.044342
41,1454.316284,11,0.046295
41,1518.983887,12,0.050201
42,1240.245239,8,0.042389
42,1315.478516,9,0.043854
42,1386.63623,10,0.046051
42,1454.316284,11,0.047516
42,1518.983887,12,0.05069
