@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric

@data
0,438.492889,1,0
0,620.12262,2,0
0,759.491943,3,0
0,876.985779,4,0
0,980.499878,5,0
0,1074.08374,6,0
0,1160.143066,7,0
0,1240.245239,8,0
0,1315.478516,9,0
0,1386.63623,10,0
0,1454.316284,11,0
0,1518.983887,12,0
0,1581.008545,13,0
0,1640.690186,14,0
0,1698.275635,15,0
0,1753.971558,16,0
0,1807.952515,17,0
0,1860.367676,18,0
0,1911.346191,19,0
0,1960.999756,20,0
0,2009.426758,21,0
0,2056.713867,22,0
0,2102.937988,23,0
0,2148.16748,24,0
0,2192.464355,25,0
0,2235.883789,26,0
0,2278.47583,27,0
0,2320.286133,28,0
0,2361.356689,29,0
0,2401.724365,30,0
0,2441.425293,31,0
0,2480.490479,32,0
0,2518.949707,33,0
0,2556.831055,34,0
0,2594.158936,35,0
0,2630.957031,36,0
0,2667.248047,37,0
0,2703.051758,38,0
0,2738.387207,39,0
0,2773.272461,40,0
5,438.492889,1,0.073705
5,620.12262,2,0.10317
5,759.491943,3,0.124196
5,876.985779,4,0.142319
5,980.499878,5,0.157652
5,1074.08374,6,0.171547
5,1160.143066,7,0.182802
5,1240.245239,8,0.19519
5,1315.478516,9,0.205011
5,1386.63623,10,0.214754
5,1454.316284,11,0.224419
5,1518.983887,12,0.232813
5,1581.008545,13,0.241148
5,1640.690186,14,0.248247
5,1698.275635,15,0.256474
5,1753.971558,16,0.263481
5,1807.952515,17,0.270445
5,1860.367676,18,0.276217
5,1911.346191,19,0.283106
5,1960.999756,20,0.288814
5,2009.426758,21,0.294495
5,2056.713867,22,0.300147
5,2102.937988,23,0.30577
5,2148.16748,24,0.311366
5,2192.464355,25,0.316934
5,2235.883789,26,0.321368
5,2278.47583,27,0.326886
5,2320.286133,28,0.33128
5,2361.356689,29,0.336749
5,2401.724365,30,0.341104
5,2441.425293,31,0.345442
5,2480.490479,32,0.349762
5,2518.949707,33,0.354065
5,2556.831055,34,0.358351
5,2594.158936,35,0.36262
5,2630.957031,36,0.36581
5,2667.248047,37,0.370049
5,2703.051758,38,0.374271
5,2738.387207,39,0.377427
5,2773.272461,40,0.381619
10,438.492889,1,0.14741
10,620.12262,2,0.20634
10,759.491943,3,0.248391
10,876.985779,4,0.284638
10,980.499878,5,0.315304
10,1074.08374,6,0.343094
10,1160.143066,7,0.365605
10,1240.245239,8,0.39038
10,1315.478516,9,0.410022
10,1386.63623,10,0.429508
10,1454.316284,11,0.448839
10,1518.983887,12,0.465626
10,1581.008545,13,0.482297
10,1640.690186,14,0.496493
10,1698.275635,15,0.512948
10,1753.971558,16,0.526961
10,1807.952515,17,0.540891
10,1860.367676,18,0.552434
10,1911.346191,19,0.566211
10,1960.999756,20,0.577629
10,2009.426758,21,0.588989
10,2056.713867,22,0.600293
10,2102.937988,23,0.611541
10,2148.16748,24,0.622732
10,2192.464355,25,0.633868
10,2235.883789,26,0.642736
10,2278.47583,27,0.653772
10,2320.286133,28,0.662561
10,2361.356689,29,0.673498
10,2401.724365,30,0.682208
10,2441.425293,31,0.690883
10,2480.490479,32,0.699524
10,2518.949707,33,0.70813
10,2556.831055,34,0.716702
10,2594.158936,35,0.725239
10,2630.957031,36,0.73162
10,2667.248047,37,0.740098
10,2703.051758,38,0.748542
10,2738.387207,39,0.754853
10,2773.272461,40,0.763238
15,438.492889,1,0.221115
15,620.12262,2,0.30951
15,759.491943,3,0.372587
15,876.985779,4,0.426956
15,980.499878,5,0.472956
15,1074.08374,6,0.514641
15,1160.143066,7,0.548407
15,1240.245239,8,0.585569
15,1315.478516,9,0.615033
15,1386.63623,10,0.644262
15,1454.316284,11,0.673258
15,1518.983887,12,0.698439
15,1581.008545,13,0.723445
15,1640.690186,14,0.74474
15,1698.275635,15,0.769423
15,1753.971558,16,0.790442
15,1807.952515,17,0.811336
15,1860.367676,18,0.828652
15,1911.346191,19,0.849317
15,1960.999756,20,0.866443
15,2009.426758,21,0.883484
15,2056.713867,22,0.90044
15,2102.937988,23,0.917311
15,2148.16748,24,0.934098
15,2192.464355,25,0.950801
15,2235.883789,26,0.964104
15,2278.47583,27,0.980657
15,2320.286133,28,0.993841
15,2361.356689,29,1.010246
15,2401.724365,30,1.023311
15,2441.425293,31,1.036324
15,2480.490479,32,1.049285
15,2518.949707,33,1.062194
15,2556.831055,34,1.075052
15,2594.158936,35,1.087858
15,2630.957031,36,1.09743
15,2667.248047,37,1.110146
15,2703.051758,38,1.122813
15,2738.387207,39,1.132279
15,2773.272461,40,1.144857
20,438.492889,1,0.29482
20,620.12262,2,0.41268
20,759.491943,3,0.496782
20,876.985779,4,0.569275
20,980.499878,5,0.630609
20,1074.08374,6,0.686188
20,1160.143066,7,0.731209
20,1240.245239,8,0.780759
20,1315.478516,9,0.820044
20,1386.63623,10,0.859016
20,1454.316284,11,0.897677
20,1518.983887,12,0.931253
20,1581.008545,13,0.964594
20,1640.690186,14,0.992987
20,1698.275635,15,1.025897
20,1753.971558,16,1.053923
20,1807.952515,17,1.081781
20,1860.367676,18,1.104869
20,1911.346191,19,1.132422
20,1960.999756,20,1.155257
20,2009.426758,21,1.177979
20,2056.713867,22,1.200587
20,2102.937988,23,1.223082
20,2148.16748,24,1.245464
20,2192.464355,25,1.267735
20,2235.883789,26,1.285472
20,2278.47583,27,1.307544
20,2320.286133,28,1.325122
20,2361.356689,29,1.346995
20,2401.724365,30,1.364416
20,2441.425293,31,1.381766
20,2480.490479,32,1.399047
20,2518.949707,33,1.41626
20,2556.831055,34,1.433404
20,2594.158936,35,1.450479
20,2630.957031,36,1.46324
20,2667.248047,37,1.480196
20,2703.051758,38,1.497084
20,2738.387207,39,1.509706
20,2773.272461,40,1.526477
25,438.492889,1,0.368525
25,620.12262,2,0.51585
25,759.491943,3,0.620978
25,876.985779,4,0.711593
25,980.499878,5,0.78826
25,1074.08374,6,0.857734
25,1160.143066,7,0.914011
25,1240.245239,8,0.975949
25,1315.478516,9,1.025055
25,1386.63623,10,1.073769
25,1454.316284,11,1.122095
25,1518.983887,12,1.164065
25,1581.008545,13,1.205741
25,1640.690186,14,1.241232
25,1698.275635,15,1.28237
25,1753.971558,16,1.317402
25,1807.952515,17,1.352225
25,1860.367676,18,1.381085
25,1911.346191,19,1.415527
25,1960.999756,20,1.444071
25,2009.426758,21,1.472472
25,2056.713867,22,1.500732
25,2102.937988,23,1.52885
25,2148.16748,24,1.556829
25,2192.464355,25,1.584668
25,2235.883789,26,1.606839
25,2278.47583,27,1.634428
25,2320.286133,28,1.6564
25,2361.356689,29,1.683742
25,2401.724365,30,1.705517
25,2441.425293,31,1.727205
25,2480.490479,32,1.748807
25,2518.949707,33,1.770322
25,2556.831055,34,1.791752
25,2594.158936,35,1.813096
25,2630.957031,36,1.829048
25,2667.248047,37,1.850242
25,2703.051758,38,1.871353
25,2738.387207,39,1.88713
25,2773.272461,40,1.908093
30,438.492889,1,0.44223
30,620.12262,2,0.619021
30,759.491943,3,0.745173
30,876.985779,4,0.853912
30,980.499878,5,0.945913
30,1074.08374,6,1.029282
30,1160.143066,7,1.096813
30,1240.245239,8,1.171139
30,1315.478516,9,1.230066
30,1386.63623,10,1.288524
30,1454.316284,11,1.346515
30,1518.983887,12,1.396879
30,1581.008545,13,1.446891
30,1640.690186,14,1.48948
30,1698.275635,15,1.538845
30,1753.971558,16,1.580884
30,1807.952515,17,1.622672
30,1860.367676,18,1.657303
30,1911.346191,19,1.698633
30,1960.999756,20,1.732886
30,2009.426758,21,1.766968
30,2056.713867,22,1.800879
30,2102.937988,23,1.834622
30,2148.16748,24,1.868196
30,2192.464355,25,1.901603
30,2235.883789,26,1.928208
30,2278.47583,27,1.961315
30,2320.286133,28,1.987682
30,2361.356689,29,2.020492
30,2401.724365,30,2.046622
30,2441.425293,31,2.072648
30,2480.490479,32,2.09857
30,2518.949707,33,2.124389
30,2556.831055,34,2.150104
30,2594.158936,35,2.175717
30,2630.957031,36,2.194859
30,2667.248047,37,2.220293
30,2703.051758,38,2.245625
30,2738.387207,39,2.264558
30,2773.272461,40,2.289714
35,438.492889,1,0.515935
35,620.12262,2,0.722191
35,759.491943,3,0.869369
35,876.985779,4,0.996231
35,980.499878,5,1.103565
35,1074.08374,6,1.200829
35,1160.143066,7,1.279616
35,1240.245239,8,1.366329
35,1315.478516,9,1.435077
35,1386.63623,10,1.503278
35,1454.316284,11,1.570935
35,1518.983887,12,1.629692
35,1581.008545,13,1.688039
35,1640.690186,14,1.737726
35,1698.275635,15,1.795319
35,1753.971558,16,1.844365
35,1807.952515,17,1.893117
35,1860.367676,18,1.933521
35,1911.346191,19,1.981739
35,1960.999756,20,2.0217
35,2009.426758,21,2.061462
35,2056.713867,22,2.101026
35,2102.937988,23,2.140393
35,2148.16748,24,2.179562
35,2192.464355,25,2.218537
35,2235.883789,26,2.249576
35,2278.47583,27,2.288201
35,2320.286133,28,2.318962
35,2361.356689,29,2.357241
35,2401.724365,30,2.387726
35,2441.425293,31,2.418089
35,2480.490479,32,2.448332
35,2518.949707,33,2.478453
35,2556.831055,34,2.508455
35,2594.158936,35,2.538336
35,2630.957031,36,2.560669
35,2667.248047,37,2.590342
35,2703.051758,38,2.619897
35,2738.387207,39,2.641985
35,2773.272461,40,2.671333
40,438.492889,1,0.58964
40,620.12262,2,0.825361
40,759.491943,3,0.993565
40,876.985779,4,1.13855
40,980.499878,5,1.261217
40,1074.08374,6,1.372376
40,1160.143066,7,1.462418
40,1240.245239,8,1.561519
40,1315.478516,9,1.640089
40,1386.63623,10,1.718032
40,1454.316284,11,1.795354
40,1518.983887,12,1.862505
40,1581.008545,13,1.929187
40,1640.690186,14,1.985973
40,1698.275635,15,2.051794
40,1753.971558,16,2.107846
40,1807.952515,17,2.163562
40,1860.367676,18,2.209738
40,1911.346191,19,2.264844
40,1960.999756,20,2.310515
40,2009.426758,21,2.355957
40,2056.713867,22,2.401173
40,2102.937988,23,2.446163
40,2148.16748,24,2.490929
40,2192.464355,25,2.535471
40,2235.883789,26,2.570945
40,2278.47583,27,2.615088
40,2320.286133,28,2.650244
40,2361.356689,29,2.69399
40,2401.724365,30,2.728831
40,2441.425293,31,2.763532
40,2480.490479,32,2.798095
40,2518.949707,33,2.83252
40,2556.831055,34,2.866807
40,2594.158936,35,2.900957
40,2630.957031,36,2.926481
40,2667.248047,37,2.960392
40,2703.051758,38,2.994169
40,2738.387207,39,3.019413
40,2773.272461,40,3.052953
45,438.492889,1,0.663345
45,620.12262,2,0.928531
45,759.491943,3,1.11776
45,876.985779,4,1.280869
45,980.499878,5,1.418869
45,1074.08374,6,1.543922
45,1160.143066,7,1.64522
45,1240.245239,8,1.756708
45,1315.478516,9,1.845099
45,1386.63623,10,1.932785
45,1454.316284,11,2.019773
45,1518.983887,12,2.095317
45,1581.008545,13,2.170335
45,1640.690186,14,2.234219
45,1698.275635,15,2.308267
45,1753.971558,16,2.371325
45,1807.952515,17,2.434006
45,1860.367676,18,2.485954
45,1911.346191,19,2.547949
45,1960.999756,20,2.599328
45,2009.426758,21,2.650451
45,2056.713867,22,2.701318
45,2102.937988,23,2.751932
45,2148.16748,24,2.802293
45,2192.464355,25,2.852403
45,2235.883789,26,2.89231
45,2278.47583,27,2.941971
45,2320.286133,28,2.981521
45,2361.356689,29,3.030736
45,2401.724365,30,3.069932
45,2441.425293,31,3.108971
45,2480.490479,32,3.147854
45,2518.949707,33,3.186582
45,2556.831055,34,3.225155
45,2594.158936,35,3.263574
45,2630.957031,36,3.292288
45,2667.248047,37,3.330438
45,2703.051758,38,3.368437
45,2738.387207,39,3.396836
45,2773.272461,40,3.434569
50,438.492889,1,0.73705
50,620.12262,2,1.031701
50,759.491943,3,1.241955
50,876.985779,4,1.423187
50,980.499878,5,1.576521
50,1074.08374,6,1.715469
50,1160.143066,7,1.828022
50,1240.245239,8,1.951897
50,1315.478516,9,2.050109
50,1386.63623,10,2.147538
50,1454.316284,11,2.244191
50,1518.983887,12,2.32813
50,1581.008545,13,2.411483
50,1640.690186,14,2.482465
50,1698.275635,15,2.564741
50,1753.971558,16,2.634805
50,1807.952515,17,2.704451
50,1860.367676,18,2.76217
50,1911.346191,19,2.831054
50,1960.999756,20,2.888142
50,2009.426758,21,2.944944
50,2056.713867,22,3.001464
50,2102.937988,23,3.057701
50,2148.16748,24,3.113658
50,2192.464355,25,3.169335
50,2235.883789,26,3.213677
50,2278.47583,27,3.268856
50,2320.286133,28,3.3128
50,2361.356689,29,3.367484
50,2401.724365,30,3.411034
50,2441.425293,31,3.454411
50,2480.490479,32,3.497614
50,2518.949707,33,3.540645
50,2556.831055,34,3.583503
50,2594.158936,35,3.626191
50,2630.957031,36,3.658095
50,2667.248047,37,3.700485
50,2703.051758,38,3.742706
50,2738.387207,39,3.774261
50,2773.272461,40,3.816186
55,438.492889,1,0.810755
55,620.12262,2,1.134871
55,759.491943,3,1.366151
55,876.985779,4,1.565506
55,980.499878,5,1.734173
55,1074.08374,6,1.887016
55,1160.143066,7,2.010824
55,1240.245239,8,2.147087
55,1315.478516,9,2.255121
55,1386.63623,10,2.362293
55,1454.316284,11,2.468611
55,1518.983887,12,2.560944
55,1581.008545,13,2.652632
55,1640.690186,14,2.730712
55,1698.275635,15,2.821215
55,1753.971558,16,2.898287
55,1807.952515,17,2.974897
55,1860.367676,18,3.038388
55,1911.346191,19,3.11416
55,1960.999756,20,3.176957
55,2009.426758,21,3.23944
55,2056.713867,22,3.301611
55,2102.937988,23,3.363473
55,2148.16748,24,3.425025
55,2192.464355,25,3.486271
55,2235.883789,26,3.535047
55,2278.47583,27,3.595743
55,2320.286133,28,3.644082
55,2361.356689,29,3.704234
55,2401.724365,30,3.75214
55,2441.425293,31,3.799854
55,2480.490479,32,3.847378
55,2518.949707,33,3.894711
55,2556.831055,34,3.941856
55,2594.158936,35,3.988813
55,2630.957031,36,4.023907
55,2667.248047,37,4.070536
55,2703.051758,38,4.116979
55,2738.387207,39,4.151689
55,2773.272461,40,4.197807
60,438.492889,1,0.88446
60,620.12262,2,1.238041
60,759.491943,3,1.490346
60,876.985779,4,1.707825
60,980.499878,5,1.891825
60,1074.08374,6,2.058563
60,1160.143066,7,2.193627
60,1240.245239,8,2.342278
60,1315.478516,9,2.460132
60,1386.63623,10,2.577048
60,1454.316284,11,2.693031
60,1518.983887,12,2.793757
60,1581.008545,13,2.893781
60,1640.690186,14,2.97896
60,1698.275635,15,3.077691
60,1753.971558,16,3.161769
60,1807.952515,17,3.245344
60,1860.367676,18,3.314607
60,1911.346191,19,3.397267
60,1960.999756,20,3.465772
60,2009.426758,21,3.533936
60,2056.713867,22,3.601759
60,2102.937988,23,3.669244
60,2148.16748,24,3.736392
60,2192.464355,25,3.803205
60,2235.883789,26,3.856416
60,2278.47583,27,3.92263
60,2320.286133,28,3.975363
60,2361.356689,29,4.040984
60,2401.724365,30,4.093245
60,2441.425293,31,4.145297
60,2480.490479,32,4.197141
60,2518.949707,33,4.248777
60,2556.831055,34,4.300208
60,2594.158936,35,4.351433
60,2630.957031,36,4.389718
60,2667.248047,37,4.440586
60,2703.051758,38,4.491251
60,2738.387207,39,4.529117
60,2773.272461,40,4.579428
65,438.492889,1,0.958165
65,620.12262,2,1.341212
65,759.491943,3,1.614542
65,876.985779,4,1.850144
65,980.499878,5,2.049478
65,1074.08374,6,2.230111
65,1160.143066,7,2.376429
65,1240.245239,8,2.537468
65,1315.478516,9,2.665143
65,1386.63623,10,2.791801
65,1454.316284,11,2.91745
65,1518.983887,12,3.02657
65,1581.008545,13,3.134929
65,1640.690186,14,3.227206
65,1698.275635,15,3.334164
65,1753.971558,16,3.425249
65,1807.952515,17,3.515788
65,1860.367676,18,3.590823
65,1911.346191,19,3.680372
65,1960.999756,20,3.754586
65,2009.426758,21,3.82843
65,2056.713867,22,3.901906
65,2102.937988,23,3.975014
65,2148.16748,24,4.047758
65,2192.464355,25,4.120139
65,2235.883789,26,4.177783
65,2278.47583,27,4.249515
65,2320.286133,28,4.306643
65,2361.356689,29,4.377732
65,2401.724365,30,4.434348
65,2441.425293,31,4.490737
65,2480.490479,32,4.546902
65,2518.949707,33,4.602842
65,2556.831055,34,4.658559
65,2594.158936,35,4.714053
65,2630.957031,36,4.755527
65,2667.248047,37,4.810634
65,2703.051758,38,4.865521
65,2738.387207,39,4.906542
65,2773.272461,40,4.961046
70,438.492889,1,1.03187
70,620.12262,2,1.444382
70,759.491943,3,1.738738
70,876.985779,4,1.992462
70,980.499878,5,2.20713
70,1074.08374,6,2.401657
70,1160.143066,7,2.559231
70,1240.245239,8,2.732657
70,1315.478516,9,2.870155
70,1386.63623,10,3.006556
70,1454.316284,11,3.14187
70,1518.983887,12,3.259384
70,1581.008545,13,3.376078
70,1640.690186,14,3.475453
70,1698.275635,15,3.590639
70,1753.971558,16,3.68873
70,1807.952515,17,3.786234
70,1860.367676,18,3.867041
70,1911.346191,19,3.963478
70,1960.999756,20,4.043401
70,2009.426758,21,4.122925
70,2056.713867,22,4.202052
70,2102.937988,23,4.280785
70,2148.16748,24,4.359125
70,2192.464355,25,4.437073
70,2235.883789,26,4.499152
