@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric

@data
0,438.492889,1,0
0,620.12262,2,0
0,759.491943,3,0
0,876.985779,4,0
0,980.499878,5,0
0,1074.08374,6,0
0,1160.143066,7,0
0,1240.245239,8,0
0,1315.478516,9,0
0,1386.63623,10,0
0,1454.316284,11,0
0,1518.983887,12,0
0,1581.008545,13,0
0,1640.690186,14,0
0,1698.275635,15,0
0,1753.971558,16,0
0,1807.952515,17,0
0,1860.367676,18,0
0,1911.346191,19,0
0,1960.999756,20,0
0,2009.426758,21,0
0,2056.713867,22,0
0,2102.937988,23,0
0,2148.16748,24,0
0,2192.464355,25,0
0,2235.883789,26,0
0,2278.47583,27,0
0,2320.286133,28,0
0,2361.356689,29,0
0,2401.724365,30,0
0,2441.425293,31,0
0,2480.490479,32,0
0,2518.949707,33,0
0,2556.831055,34,0
0,2594.158936,35,0
0,2630.957031,36,0
0,2667.248047,37,0
0,2703.051758,38,0
0,2738.387207,39,0
0,2773.272461,40,0
20,438.492889,1,0.29482
20,620.12262,2,0.41268
20,759.491943,3,0.496782
20,876.985779,4,0.569275
20,980.499878,5,0.630609
20,1074.08374,6,0.686188
20,1160.143066,7,0.731209
20,1240.245239,8,0.780759
20,1315.478516,9,0.820044
20,1386.63623,10,0.859016
20,1454.316284,11,0.897677
20,1518.983887,12,0.931253
20,1581.008545,13,0.964594
20,1640.690186,14,0.992987
20,1698.275635,15,1.025897
20,1753.971558,16,1.053923
20,1807.952515,17,1.081781
20,1860.367676,18,1.104869
20,1911.346191,19,1.132422
20,1960.999756,20,1.155257
20,2009.426758,21,1.177979
20,2056.713867,22,1.200587
20,2102.937988,23,1.223082
20,2148.16748,24,1.245464
20,2192.464355,25,1.267735
20,2235.883789,26,1.285472
20,2278.47583,27,1.307544
20,2320.286133,28,1.325122
20,2361.356689,29,1.346995
20,2401.724365,30,1.364416
20,2441.425293,31,1.381766
20,2480.490479,32,1.399047
20,2518.949707,33,1.41626
20,2556.831055,34,1.433404
20,2594.158936,35,1.450479
20,2630.957031,36,1.46324
20,2667.248047,37,1.480196
20,2703.051758,38,1.497084
20,2738.387207,39,1.509706
20,2773.272461,40,1.526477
40,438.492889,1,0.58964
40,620.12262,2,0.825361
40,759.491943,3,0.993565
40,876.985779,4,1.13855
40,980.499878,5,1.261217
40,1074.08374,6,1.372376
40,1160.143066,7,1.462418
40,1240.245239,8,1.561519
40,1315.478516,9,1.640089
40,1386.63623,10,1.718032
40,1454.316284,11,1.795354
40,1518.983887,12,1.862505
40,1581.008545,13,1.929187
40,1640.690186,14,1.985973
40,1698.275635,15,2.051794
40,1753.971558,16,2.107846
40,1807.952515,17,2.163562
40,1860.367676,18,2.209738
40,1911.346191,19,2.264844
40,1960.999756,20,2.310515
40,2009.426758,21,2.355957
40,2056.713867,22,2.401173
40,2102.937988,23,2.446163
40,2148.16748,24,2.490929
40,2192.464355,25,2.535471
40,2235.883789,26,2.570945
40,2278.47583,27,2.615088
40,2320.286133,28,2.650244
40,2361.356689,29,2.69399
40,2401.724365,30,2.728831
40,2441.425293,31,2.763532
40,2480.490479,32,2.798095
40,2518.949707,33,2.83252
40,2556.831055,34,2.866807
40,2594.158936,35,2.900957
40,2630.957031,36,2.926481
40,2667.248047,37,2.960392
40,2703.051758,38,2.994169
40,2738.387207,39,3.019413
40,2773.272461,40,3.052953
60,438.492889,1,0.88446
60,620.12262,2,1.238041
60,759.491943,3,1.490346
60,876.985779,4,1.707825
60,980.499878,5,1.891825
60,1074.08374,6,2.058563
60,1160.143066,7,2.193627
60,1240.245239,8,2.342278
60,1315.478516,9,2.460132
60,1386.63623,10,2.577048
60,1454.316284,11,2.693031
60,1518.983887,12,2.793757
60,1581.008545,13,2.893781
60,1640.690186,14,2.97896
60,1698.275635,15,3.077691
60,1753.971558,16,3.161769
60,1807.952515,17,3.245344
60,1860.367676,18,3.314607
60,1911.346191,19,3.397267
60,1960.999756,20,3.465772
60,2009.426758,21,3.533936
60,2056.713867,22,3.601759
60,2102.937988,23,3.669244
60,2148.16748,24,3.736392
60,2192.464355,25,3.803205
60,2235.883789,26,3.856416
60,2278.47583,27,3.92263
60,2320.286133,28,3.975363
60,2361.356689,29,4.040984
60,2401.724365,30,4.093245
60,2441.425293,31,4.145297
60,2480.490479,32,4.197141
60,2518.949707,33,4.248777
60,2556.831055,34,4.300208
60,2594.158936,35,4.351433
60,2630.957031,36,4.389718
60,2667.248047,37,4.440586
60,2703.051758,38,4.491251
60,2738.387207,39,4.529117
60,2773.272461,40,4.579428
80,438.492889,1,1.17928
80,620.12262,2,1.650722
80,759.491943,3,1.987129
80,876.985779,4,2.2771
80,980.499878,5,2.522434
80,1074.08374,6,2.744751
80,1160.143066,7,2.924836
80,1240.245239,8,3.123038
80,1315.478516,9,3.280177
80,1386.63623,10,3.436064
80,1454.316284,11,3.590708
80,1518.983887,12,3.72501
80,1581.008545,13,3.858375
80,1640.690186,14,3.971946
80,1698.275635,15,4.103588
80,1753.971558,16,4.215692
80,1807.952515,17,4.327124
80,1860.367676,18,4.419475
80,1911.346191,19,4.529689
80,1960.999756,20,4.621029
80,2009.426758,21,4.711915
80,2056.713867,22,4.802347
80,2102.937988,23,4.892327
80,2148.16748,24,4.981858
80,2192.464355,25,5.070942
80,2235.883789,26,5.141889
80,2278.47583,27,5.230175
80,2320.286133,28,5.300487
80,2361.356689,29,5.387981
80,2401.724365,30,5.457662
80,2441.425293,31,5.527065
80,2480.490479,32,5.59619
80,2518.949707,33,5.66504
80,2556.831055,34,5.733614
80,2594.158936,35,5.801915
80,2630.957031,36,5.852961
80,2667.248047,37,5.920785
80,2703.051758,38,5.988338
80,2738.387207,39,6.038825
80,2773.272461,40,6.105906
100,438.492889,1,1.4741
100,620.12262,2,2.063401
100,759.491943,3,2.48391
100,876.985779,4,2.846374
100,980.499878,5,3.153041
100,1074.08374,6,3.430938
100,1160.143066,7,3.656043
100,1240.245239,8,3.903794
100,1315.478516,9,4.100219
100,1386.63623,10,4.295077
100,1454.316284,11,4.488382
100,1518.983887,12,4.656259
100,1581.008545,13,4.822965
100,1640.690186,14,4.96493
100,1698.275635,15,5.129481
100,1753.971558,16,5.26961
100,1807.952515,17,5.408901
100,1860.367676,18,5.524341
100,1911.346191,19,5.662107
100,1960.999756,20,5.776283
100,2009.426758,21,5.889889
100,2056.713867,22,6.002927
100,2102.937988,23,6.115402
100,2148.16748,24,6.227315
100,2192.464355,25,6.33867
100,2235.883789,26,6.427354
100,2278.47583,27,6.537711
100,2320.286133,28,6.6256
100,2361.356689,29,6.734967
100,2401.724365,30,6.822069
100,2441.425293,31,6.908822
100,2480.490479,32,6.995228
100,2518.949707,33,7.08129
100,2556.831055,34,7.167007
100,2594.158936,35,7.252383
100,2630.957031,36,7.31619
100,2667.248047,37,7.40097
100,2703.051758,38,7.485411
100,2738.387207,39,7.548521
100,2773.272461,40,7.632372
120,438.492889,1,1.76892
120,620.12262,2,2.476082
120,759.491943,3,2.980693
120,876.985779,4,3.415649
120,980.499878,5,3.783651
120,1074.08374,6,4.117126
120,1160.143066,7,4.387253
120,1240.245239,8,4.684556
120,1315.478516,9,4.920265
120,1386.63623,10,5.154095
120,1454.316284,11,5.386062
120,1518.983887,12,5.587514
120,1581.008545,13,5.787562
120,1640.690186,14,5.95792
120,1698.275635,15,6.155382
120,1753.971558,16,6.323538
120,1807.952515,17,6.490687
120,1860.367676,18,6.629214
120,1911.346191,19,6.794534
120,1960.999756,20,6.931545
120,2009.426758,21,7.067872
120,2056.713867,22,7.203518
120,2102.937988,23,7.338488
120,2148.16748,24,7.472784
120,2192.464355,25,7.606411
120,2235.883789,26,7.712831
120,2278.47583,27,7.845259
120,2320.286133,28,7.950726
120,2361.356689,29,8.081967
120,2401.724365,30,8.186489
120,2441.425293,31,8.290593
120,2480.490479,32,8.394281
120,2518.949707,33,8.497555
120,2556.831055,34,8.600416
120,2594.158936,35,8.702867
120,2630.957031,36,8.779436
120,2667.248047,37,8.881171
120,2703.051758,38,8.982501
120,2738.387207,39,9.058233
120,2773.272461,40,9.158855
140,438.492889,1,2.06374
140,620.12262,2,2.888763
140,759.491943,3,3.477476
140,876.985779,4,3.984925
140,980.499878,5,4.41426
140,1074.08374,6,4.803315
140,1160.143066,7,5.118463
140,1240.245239,8,5.465315
140,1315.478516,9,5.740309
140,1386.63623,10,6.013111
140,1454.316284,11,6.283739
140,1518.983887,12,6.518767
140,1581.008545,13,6.752155
140,1640.690186,14,6.950905
140,1698.275635,15,7.181278
140,1753.971558,16,7.37746
140,1807.952515,17,7.572467
140,1860.367676,18,7.734082
140,1911.346191,19,7.926956
140,1960.999756,20,8.086802
140,2009.426758,21,8.24585
140,2056.713867,22,8.404104
140,2102.937988,23,8.56157
140,2148.16748,24,8.718249
140,2192.464355,25,8.874146
140,2235.883789,26,8.998303
140,2278.47583,27,9.152803
140,2320.286133,28,9.275848
140,2361.356689,29,9.428963
140,2401.724365,30,9.550903
140,2441.425293,31,9.672358
140,2480.490479,32,9.793327
140,2518.949707,33,9.913814
140,2556.831055,34,10.033818
140,2594.158936,35,10.153344
140,2630.957031,36,10.242675
140,2667.248047,37,10.361367
140,2703.051758,38,10.479587
140,2738.387207,39,10.567941
140,2773.272461,40,10.685333
160,438.492889,1,2.358561
160,620.12262,2,3.301444
160,759.491943,3,3.974258
160,876.985779,4,4.5542
160,980.499878,5,5.044869
160,1074.08374,6,5.489503
160,1160.143066,7,5.849672
160,1240.245239,8,6.246076
160,1315.478516,9,6.560355
160,1386.63623,10,6.872128
160,1454.316284,11,7.181416
160,1518.983887,12,7.45002
160,1581.008545,13,7.716749
160,1640.690186,14,7.943892
160,1698.275635,15,8.207175
160,1753.971558,16,8.431383
160,1807.952515,17,8.654248
160,1860.367676,18,8.83895
160,1911.346191,19,9.059378
160,1960.999756,20,9.242059
160,2009.426758,21,9.423829
160,2056.713867,22,9.604693
160,2102.937988,23,9.784654
160,2148.16748,24,9.963716
160,2192.464355,25,10.141884
160,2235.883789,26,10.283778
160,2278.47583,27,10.460351
160,2320.286133,28,10.600974
160,2361.356689,29,10.775962
160,2401.724365,30,10.915324
160,2441.425293,31,11.05413
160,2480.490479,32,11.19238
160,2518.949707,33,11.330079
160,2556.831055,34,11.467229
160,2594.158936,35,11.603829
160,2630.957031,36,11.705922
160,2667.248047,37,11.84157
160,2703.051758,38,11.976675
160,2738.387207,39,12.07765
160,2773.272461,40,12.211813
180,438.492889,1,2.653381
180,620.12262,2,3.714123
180,759.491943,3,4.47104
180,876.985779,4,5.123474
180,980.499878,5,5.675476
180,1074.08374,6,6.175689
180,1160.143066,7,6.580879
180,1240.245239,8,7.026832
180,1315.478516,9,7.380395
180,1386.63623,10,7.731141
180,1454.316284,11,8.07909
180,1518.983887,12,8.381269
180,1581.008545,13,8.681339
180,1640.690186,14,8.936874
180,1698.275635,15,9.233068
180,1753.971558,16,9.485301
180,1807.952515,17,9.736025
180,1860.367676,18,9.943815
180,1911.346191,19,10.191795
180,1960.999756,20,10.397312
180,2009.426758,21,10.601804
180,2056.713867,22,10.805273
180,2102.937988,23,11.007728
180,2148.16748,24,11.209172
180,2192.464355,25,11.409611
180,2235.883789,26,11.569242
180,2278.47583,27,11.767884
180,2320.286133,28,11.926084
180,2361.356689,29,12.122946
180,2401.724365,30,12.279728
180,2441.425293,31,12.435884
180,2480.490479,32,12.591416
180,2518.949707,33,12.746327
180,2556.831055,34,12.90062
180,2594.158936,35,13.054296
180,2630.957031,36,13.16915
180,2667.248047,37,13.321754
180,2703.051758,38,13.473747
180,2738.387207,39,13.587344
180,2773.272461,40,13.738277
200,438.492889,1,2.844344
200,620.12262,2,4.126802
200,759.491943,3,4.96782
200,876.985779,4,5.692748
200,980.499878,5,6.306083
200,1074.08374,6,6.861875
200,1160.143066,7,7.312086
200,1240.245239,8,7.807589
200,1315.478516,9,8.200438
200,1386.63623,10,8.590154
200,1454.316284,11,8.976764
200,1518.983887,12,9.312518
200,1581.008545,13,9.64593
200,1640.690186,14,9.929859
200,1698.275635,15,10.258963
200,1753.971558,16,10.53922
200,1807.952515,17,10.817802
200,1860.367676,18,11.048681
200,1911.346191,19,11.324215
200,1960.999756,20,11.552567
200,2009.426758,21,11.779778
200,2056.713867,22,12.005855
200,2102.937988,23,12.230803
200,2148.16748,24,12.454631
200,2192.464355,25,12.677341
200,2235.883789,26,12.854709
200,2278.47583,27,13.075422
200,2320.286133,28,13.2512
200,2361.356689,29,13.469934
200,2401.724365,30,13.644137
200,2441.425293,31,13.817643
200,2480.490479,32,15.148038
200,2518.949707,33,14.16258
200,2556.831055,34,14.334014
200,2594.158936,35,14.504766
200,2630.957031,36,14.63238
200,2667.248047,37,14.80194
200,2703.051758,38,14.970822
200,2738.387207,39,15.097042
200,2773.272461,40,15.264744
220,438.492889,1,3.24302
220,620.12262,2,4.539484
220,759.491943,3,5.464603
220,876.985779,4,6.262023
220,980.499878,5,6.936692
220,1074.08374,6,7.548063
220,1160.143066,7,8.043296
220,1240.245239,8,8.588349
220,1315.478516,9,9.020483
220,1386.63623,10,9.449172
220,1454.316284,11,9.874444
220,1518.983887,12,10.243774
220,1581.008545,13,10.610526
220,1640.690186,14,10.922848
220,1698.275635,15,11.284862
220,1753.971558,16,11.593148
220,1807.952515,17,11.899588
220,1860.367676,18,12.153553
220,1911.346191,19,12.456641
220,1960.999756,20,12.707827
220,2009.426758,21,12.95776
220,2056.713867,22,14.225445
220,2102.937988,23,13.453891
220,2148.16748,24,13.700101
220,2192.464355,25,13.945083
220,2235.883789,26,14.140187
220,2278.47583,27,14.382974
220,2320.286133,28,14.576329
220,2361.356689,29,14.816937
220,2401.724365,30,15.008559
220,2441.425293,31,15.199416
220,2480.490479,32,15.38951
220,2518.949707,33,15.578846
220,2556.831055,34,15.767426
220,2594.158936,35,15.955252
220,2630.957031,36,16.095629
220,2667.248047,37,16.282145
220,2703.051758,38,16.467915
220,2738.387207,39,16.606754
220,2773.272461,40,16.791227
240,438.492889,1,3.53784
240,620.12262,2,4.835038
240,759.491943,3,5.961386
240,876.985779,4,6.831299
240,980.499878,5,7.567302
240,1074.08374,6,8.234253
240,1160.143066,7,8.774507
240,1240.245239,8,9.369111
240,1315.478516,9,10.11996
240,1386.63623,10,10.30819
240,1454.316284,11,10.772123
240,1518.983887,12,11.175029
240,1581.008545,13,11.575125
240,1640.690186,14,11.915839
240,1698.275635,15,12.310763
240,1753.971558,16,12.647076
240,1807.952515,17,12.981375
240,1860.367676,18,13.258428
240,1911.346191,19,13.589067
240,1960.999756,20,13.86309
240,2009.426758,21,14.135743
240,2056.713867,22,14.407036
240,2102.937988,23,14.676975
240,2148.16748,24,14.945568
240,2192.464355,25,15.212821
240,2235.883789,26,15.425662
240,2278.47583,27,15.627596
240,2320.286133,28,15.901452
240,2361.356689,29,16.163935
240,2401.724365,30,25.139462
240,2441.425293,31,16.581186
240,2480.490479,32,16.788563
240,2518.949707,33,16.99511
240,2556.831055,34,17.200832
240,2594.158936,35,5.641374
240,2630.957031,36,17.558872
240,2667.248047,37,17.762342
240,2703.051758,38,19.836761
240,2738.387207,39,18.116467
240,2773.272461,40,18.317711
260,438.492889,1,3.832661
260,620.12262,2,5.364847
260,759.491943,3,6.45817
260,876.985779,4,7.400576
260,980.499878,5,1.741317
260,1074.08374,6,8.920443
260,1160.143066,7,9.505717
260,1240.245239,8,10.149871
260,1315.478516,9,10.660574
260,1386.63623,10,2.515223
260,1454.316284,11,11.6698
260,1518.983887,12,12.106281
260,1581.008545,13,12.539716
260,1640.690186,14,12.908823
260,1698.275635,15,13.336658
260,1753.971558,16,13.700995
260,1807.952515,17,14.063153
260,1860.367676,18,14.363294
260,1911.346191,19,14.721487
260,1960.999756,20,15.018344
260,2009.426758,21,15.313721
260,2056.713867,22,15.607622
260,2102.937988,23,15.900057
260,2148.16748,24,16.191031
260,2192.464355,25,16.480555
260,2235.883789,26,16.711132
260,2278.47583,27,16.99806
260,2320.286133,28,17.22657
260,2361.356689,29,17.510927
260,2401.724365,30,17.737391
260,2441.425293,31,17.96295
260,2480.490479,32,18.187609
260,2518.949707,33,18.411369
260,2556.831055,34,18.634235
260,2594.158936,35,18.856211
260,2630.957031,36,19.02211
260,2667.248047,37,19.242537
260,2703.051758,38,19.462084
260,2738.387207,39,19.626169
260,2773.272461,40,19.844185
280,438.492889,1,4.127481
280,620.12262,2,0.448931
280,759.491943,3,6.954951
280,876.985779,4,7.96985
280,980.499878,5,8.82852
280,1074.08374,6,9.606629
280,1160.143066,7,10.236925
280,1240.245239,8,2.834212
280,1315.478516,9,11.480618
280,1386.63623,10,12.026222
280,1454.316284,11,12.567478
280,1518.983887,12,13.037535
280,1581.008545,13,13.504311
280,1640.690186,14,13.901811
280,1698.275635,15,14.362556
280,1753.971558,16,14.754919
280,1807.952515,17,15.144935
280,1860.367676,18,15.468164
280,1911.346191,19,15.853911
280,1960.999756,20,16.173603
280,2009.426758,21,16.491699
280,2056.713867,22,16.808208
280,2102.937988,23,17.12314
280,2148.16748,24,17.436499
280,2192.464355,25,17.748293
280,2235.883789,26,17.996607
