@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric

@data
0,759.491943,2,0
0,876.985779,3,0
0,980.499878,4,0
0,1074.08374,5,0
0,1160.143066,6,0
0,1240.245239,7,0
0,1315.478516,8,0
0,1386.63623,9,0
0,1454.316284,10,0
0,1518.983887,11,0
0,1581.008545,12,0
0,1640.690186,13,0
0,1698.275635,14,0
0,1753.971558,15,0
0,1807.952515,16,0
0,1860.367676,17,0
0,1911.346191,18,0
0,1960.999756,19,0
0,2009.426758,20,0
0,2056.713867,21,0
0,2102.937988,22,0
0,2148.16748,23,0
0,2192.464355,24,0
0,2235.883789,25,0
0,2278.47583,26,0
0,2320.286133,27,0
0,2361.356689,28,0
0,2401.724365,29,0
0,2441.425293,30,0
0,2480.490479,31,0
0,2518.949707,32,0
0,2556.831055,33,0
0,2594.158936,34,0
0,2630.957031,35,0
0,2667.248047,36,0
0,2703.051758,37,0
0,2738.387207,38,0
0,2773.272461,39,0
0,2807.724365,40,0
100,759.491943,2,2.48391
100,876.985779,3,2.846374
100,980.499878,4,3.153041
100,1074.08374,5,3.430938
100,1160.143066,6,3.656043
100,1240.245239,7,3.903794
100,1315.478516,8,4.100219
100,1386.63623,9,4.295077
100,1454.316284,10,4.488382
100,1518.983887,11,4.656259
100,1581.008545,12,4.822965
100,1640.690186,13,4.96493
100,1698.275635,14,5.129481
100,1753.971558,15,5.26961
100,1807.952515,16,5.408901
100,1860.367676,17,5.524341
100,1911.346191,18,5.662107
100,1960.999756,19,5.776283
100,2009.426758,20,5.889889
100,2056.713867,21,6.002927
100,2102.937988,22,6.115402
100,2148.16748,23,6.227315
100,2192.464355,24,6.33867
100,2235.883789,25,6.427354
100,2278.47583,26,6.537711
100,2320.286133,27,6.6256
100,2361.356689,28,6.734967
100,2401.724365,29,6.822069
100,2441.425293,30,6.908822
100,2480.490479,31,6.995228
100,2518.949707,32,7.08129
100,2556.831055,33,7.167007
100,2594.158936,34,7.252383
100,2630.957031,35,7.31619
100,2667.248047,36,7.40097
100,2703.051758,37,7.485411
100,2738.387207,38,7.548521
