@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric

@data
0,620.12262,-40,0
0,620.12262,-39,0
0,620.12262,-38,0
0,620.12262,-37,0
0,620.12262,-36,0
0,620.12262,-35,0
0,620.12262,-34,0
0,620.12262,-33,0
0,620.12262,-32,0
0,620.12262,-31,0
0,620.12262,-30,0
0,620.12262,-29,0
0,620.12262,-28,0
0,620.12262,-27,0
0,620.12262,-26,0
0,620.12262,-25,0
0,620.12262,-24,0
0,620.12262,-23,0
0,620.12262,-22,0
0,620.12262,-21,0
0,620.12262,-20,0
0,620.12262,-19,0
0,620.12262,-18,0
0,620.12262,-17,0
0,620.12262,-16,0
0,620.12262,-15,0
0,620.12262,-14,0
0,620.12262,-13,0
0,620.12262,-12,0
0,620.12262,-11,0
0,620.12262,-10,0
0,620.12262,-9,0
0,620.12262,-8,0
0,620.12262,-7,0
0,620.12262,-6,0
0,620.12262,-5,0
0,620.12262,-4,0
0,620.12262,-3,0
0,620.12262,-2,0
0,620.12262,-1,0
0,620.12262,0,0
0,620.12262,1,0
100,620.12262,-40,5.082584
100,620.12262,-39,5.035593
100,620.12262,-38,4.988508
100,620.12262,-37,4.941328
100,620.12262,-36,4.894054
100,620.12262,-35,4.846685
100,620.12262,-34,4.799222
100,620.12262,-33,4.751663
100,620.12262,-32,4.704009
100,620.12262,-31,4.656259
100,620.12262,-30,4.608414
100,620.12262,-29,4.560473
100,620.12262,-28,4.512436
100,620.12262,-27,4.464303
100,620.12262,-26,4.416074
100,620.12262,-25,4.367748
100,620.12262,-24,4.295077
100,620.12262,-23,4.246509
100,620.12262,-22,4.197843
100,620.12262,-21,4.124661
100,620.12262,-20,4.075752
100,620.12262,-19,4.002203
100,620.12262,-18,3.953048
100,620.12262,-17,3.879131
100,620.12262,-16,3.829729
100,620.12262,-15,3.755441
100,620.12262,-14,3.68093
100,620.12262,-13,3.606195
100,620.12262,-12,3.531235
100,620.12262,-11,3.456049
100,620.12262,-10,3.380638
100,620.12262,-9,3.305
100,620.12262,-8,3.203796
100,620.12262,-7,3.127626
100,620.12262,-6,3.02571
100,620.12262,-5,2.923386
100,620.12262,-4,2.820652
100,620.12262,-3,2.691654
100,620.12262,-2,2.562009
100,620.12262,-1,2.431714
100,620.12262,0,2.248202
100,620.12262,1,2.063401
200,620.12262,-40,10.165168
200,620.12262,-39,10.071186
200,620.12262,-38,9.977015
200,620.12262,-37,9.882656
200,620.12262,-36,9.788108
200,620.12262,-35,9.69337
200,620.12262,-34,9.598443
200,620.12262,-33,9.503325
200,620.12262,-32,9.408017
200,620.12262,-31,9.312518
200,620.12262,-30,9.216828
200,620.12262,-29,9.120947
200,620.12262,-28,9.024873
200,620.12262,-27,8.928607
200,620.12262,-26,8.832148
200,620.12262,-25,8.735496
200,620.12262,-24,8.590154
200,620.12262,-23,8.493017
200,620.12262,-22,8.395686
200,620.12262,-21,8.249323
200,620.12262,-20,8.151504
200,620.12262,-19,8.004406
200,620.12262,-18,7.906096
200,620.12262,-17,7.758261
200,620.12262,-16,7.659458
200,620.12262,-15,7.510882
200,620.12262,-14,7.36186
200,620.12262,-13,7.212389
200,620.12262,-12,7.062469
200,620.12262,-11,6.912099
200,620.12262,-10,6.761276
200,620.12262,-9,6.61
200,620.12262,-8,6.407591
200,620.12262,-7,6.255252
200,620.12262,-6,6.051421
200,620.12262,-5,5.846772
200,620.12262,-4,5.641303
200,620.12262,-3,5.383307
200,620.12262,-2,5.124018
